kood;hankeosa;nimetus;formaat;kuupaev;lopp_kuupaev;maakond;asukoht;sihtruhm;osalejate_arv;keel;hinnanguline_maksumus;markused;periood_algus;periood_lopp;ruhma_suurus;ruhmi
KK-2026-201;OSA-2;Töötuba 1 Rahandusministeeriumi teenistujatele;Töötuba 1;05.10.2026;;Harju maakond;Tellija ruumid, Suur-Ameerika 1;Riigiasutused;24;et;950;;;;;
KK-2026-202;OSA-2;Töötuba 1 Sotsiaalministeeriumi teenistujatele;Töötuba 1;07.10.2026;;Harju maakond;Tellija ruumid;Riigiasutused;26;et;1050;;;;;
KK-2026-203;OSA-2;Töötuba 2 Justiitsministeeriumi juristidele;Töötuba 2;12.10.2026;;Harju maakond;Tellija ruumid;Riigiasutused;20;et;800;Eeldab Töötuba 1 läbimist;;;;
KK-2026-204;OSA-2;Töötuba 1 Maksu- ja Tolliameti teenistujatele;Töötuba 1;14.10.2026;;Harju maakond;Tellija ruumid, Lõõtsa 8a;Riigiasutused;30;et;1200;;;;;
KK-2026-205;OSA-2;Töötuba 1 Politsei- ja Piirivalveameti teenistujatele;Töötuba 1;19.10.2026;;Harju maakond;Tellija ruumid;Riigiasutused;28;et;1100;;;;;
KK-2026-206;OSA-2;Töötuba 2 Riigi Tugiteenuste Keskuse spetsialistidele;Töötuba 2;21.10.2026;;Harju maakond;Tellija ruumid;Riigiasutused;22;et;900;;;;;
KK-2026-207;OSA-2;Töötuba 1 Järva maakonna KOV ametnikele;Töötuba 1;08.09.2026;;Järva maakond;Paide, tellija ruumid;KOV ametnikud;22;et;900;;;;;
KK-2026-208;OSA-2;Töötuba 1 Rapla maakonna KOV ametnikele;Töötuba 1;10.09.2026;;Rapla maakond;Rapla, tellija ruumid;KOV ametnikud;20;et;800;;;;;
KK-2026-209;OSA-2;Töötuba 1 Põlva maakonna haridustöötajatele;Töötuba 1;15.09.2026;;Põlva maakond;Põlva, tellija ruumid;Haridus;24;et;950;;;;;
KK-2026-210;OSA-2;Töötuba 1 Võru maakonna sotsiaaltöötajatele;Töötuba 1;17.09.2026;;Võru maakond;Võru, tellija ruumid;Sotsiaalvaldkond;18;et;750;;;;;
KK-2026-211;OSA-2;Töötuba 2 Tartu maakonna KOV juhtidele;Töötuba 2;24.09.2026;;Tartu maakond;Tartu, tellija ruumid;KOV ametnikud;21;et;850;;;;;
KK-2026-212;OSA-2;Töötuba 1 Narva linnavalitsuse teenistujatele;Töötuba 1;05.11.2026;;Ida-Viru maakond;Narva, tellija ruumid;KOV ametnikud;25;ru;1000;Läbiviimine vene keeles;;;;
KK-2026-213;OSA-2;Töötuba 1 Kohtla-Järve sotsiaaltöötajatele;Töötuba 1;12.11.2026;;Ida-Viru maakond;Kohtla-Järve, tellija ruumid;Sotsiaalvaldkond;20;ru;800;Läbiviimine vene keeles;;;;
KK-2026-214;OSA-2;Töötuba 2 Pärnu maakonna ametnikele;Töötuba 2;19.11.2026;;Pärnu maakond;Pärnu, tellija ruumid;KOV ametnikud;23;et;900;;;;;
KK-2026-215;OSA-2;Töötuba 1 Saare maakonna väikeettevõtjatele;Töötuba 1;26.11.2026;;Saare maakond;Kuressaare, tellija ruumid;Väikeettevõtjad;17;et;700;;;;;
KK-2026-216;OSA-2;Töötuba 2 Lääne-Viru haridusasutuste juhtidele;Töötuba 2;03.12.2026;;Lääne-Viru maakond;Rakvere, tellija ruumid;Haridus;22;et;900;;;;;
KK-2026-301;OSA-3;Töötuba 1 veebis Sotsiaalkindlustusameti spetsialistidele;Töötuba 1;08.09.2026;;Veebipõhine;MS Teams;Riigiasutused;45;et;750;Vajalik salvestus;;;;
KK-2026-302;OSA-3;Töötuba 1 veebis Töötukassa nõustajatele;Töötuba 1;10.09.2026;;Veebipõhine;MS Teams;Riigiasutused;50;et;800;;;;;
KK-2026-303;OSA-3;Töötuba 2 veebis Terviseameti spetsialistidele;Töötuba 2;15.09.2026;;Veebipõhine;MS Teams;Tervishoid;40;et;650;;;;;
KK-2026-304;OSA-3;Töötuba 1 veebis Haridus- ja Teadusministeeriumi teenistujatele;Töötuba 1;17.09.2026;;Veebipõhine;MS Teams;Haridus;42;et;700;;;;;
KK-2026-305;OSA-3;Töötuba 1 veebis Keskkonnaameti spetsialistidele;Töötuba 1;22.09.2026;;Veebipõhine;Zoom;Riigiasutused;38;et;650;;;;;
KK-2026-306;OSA-3;Töötuba 1 veebis üldhariduskoolide õpetajatele;Töötuba 1;06.10.2026;;Veebipõhine;MS Teams;Haridus;60;et;1000;Suurem grupp;;;;
KK-2026-307;OSA-3;Töötuba 2 veebis kutseõppeasutuste õpetajatele;Töötuba 2;08.10.2026;;Veebipõhine;MS Teams;Haridus;48;et;800;;;;;
KK-2026-308;OSA-3;Töötuba 1 veebis perearstidele ja pereõdedele;Töötuba 1;15.10.2026;;Veebipõhine;MS Teams;Tervishoid;55;et;900;;;;;
KK-2026-309;OSA-3;Töötuba 1 veebis vene keeles KOV ametnikele;Töötuba 1;22.10.2026;;Veebipõhine;MS Teams;KOV ametnikud;40;ru;650;Läbiviimine vene keeles;;;;
KK-2026-310;OSA-3;Töötuba 2 veebis riigiasutuste juhtidele;Töötuba 2;29.10.2026;;Veebipõhine;MS Teams;Riigiasutused;35;et;600;;;;;
KK-2026-311;OSA-3;Töötuba 1 veebis väikeettevõtjatele;Töötuba 1;05.11.2026;;Veebipõhine;Zoom;Väikeettevõtjad;70;et;1150;Avatud registreerimine;;;;
KK-2026-312;OSA-3;Töötuba 1 veebis sotsiaaltöötajatele;Töötuba 1;12.11.2026;;Veebipõhine;MS Teams;Sotsiaalvaldkond;44;et;750;;;;;
KK-2026-313;OSA-3;Töötuba 2 veebis raamatupidajatele ja finantsistidele;Töötuba 2;19.11.2026;;Veebipõhine;MS Teams;Väikeettevõtjad;52;et;850;;;;;
KK-2026-314;OSA-3;Töötuba 1 veebis vene keeles tervishoiutöötajatele;Töötuba 1;26.11.2026;;Veebipõhine;MS Teams;Tervishoid;36;ru;600;Läbiviimine vene keeles;;;;
KK-2026-401;OSA-4;Eesti.ai kaasloomepäev avaliku sektori juhtidele;Suursündmus;15.10.2026;;Tartu maakond;Tartu, täpsustatakse kokkuleppel;Riigiasutused;180;et;4900;Vajalik modereerimine ja registreerimine;;;;
KK-2026-402;OSA-4;Eesti.ai häkaton riigiasutuste arendusmeeskondadele;Suursündmus;05.11.2026;07.11.2026;Harju maakond;Tallinn, täpsustatakse kokkuleppel;Riigiasutused;120;et;3250;Kolmepäevane, vajalik tehniline tugi;;;;
KK-2026-403;OSA-4;Eesti.ai loeng KOV juhtidele ja volikogude liikmetele;Muu formaat;12.11.2026;;Pärnu maakond;Pärnu kontserdimaja;KOV ametnikud;250;et;6750;;;;;
KK-2026-404;OSA-4;Eesti.ai kaasloomepäev haridusjuhtidele;Suursündmus;19.11.2026;;Harju maakond;Tallinn, täpsustatakse kokkuleppel;Haridus;200;et;5400;;;;;
KK-2026-405;OSA-4;Eesti.ai konverentsipäev tervishoiuasutuste juhtidele;Suursündmus;03.12.2026;;Tartu maakond;Tartu, täpsustatakse kokkuleppel;Tervishoid;160;et;4350;;;;;
KK-2026-406;OSA-4;Eesti.ai loeng väikeettevõtjatele ja alustavatele ettevõtetele;Muu formaat;10.12.2026;;Ida-Viru maakond;Narva, täpsustatakse kokkuleppel;Väikeettevõtjad;300;et;8100;Kahekeelne, et ja ru;;;;
KL-2026-001;OSA-2;Töötuba 1 Harjumaa väikeettevõtjatele (mahuline tellimus);Töötuba 1;;;Harju maakond;Tellija määratud asukohad Harjumaal;Väikeettevõtjad;500;et;20000;Klaster: 10 rühma perioodi jooksul, toimumisajad lepitakse kokku pärast jaotust;01.10.2026;31.12.2026;50;10
